idiom,Prediction
6,i
7,i
13,l
22,i
52,i
64,i
66,l
116,i
148,l
157,l
161,i
166,i
172,i
192,i
201,l
202,i
208,i
213,i
214,i
216,l
222,l
229,i
232,i
252,l
253,i
262,i
283,l
317,i
340,i
348,i
356,i
363,i
369,i
370,i
390,i
396,i
403,i
408,i
424,l
427,i
441,i
443,i
446,l
458,i
479,l
482,i
500,i
531,i
544,i
558,i
559,i
579,l
622,i
628,i
654,i
658,l
669,l
671,i
683,i
692,i
695,i
708,i
719,i
745,i
758,i
761,i
770,i
783,i
793,i
798,i
800,i
802,i
843,i
844,i
863,i
864,i
870,l
878,i
887,i
898,i
929,l
934,i
940,l
941,i
950,i
955,i
965,l
1014,i
1019,i
1028,i
1035,l
1039,i
1040,i
1048,i
1056,i
1066,i
1075,i
1078,i
1089,i
1090,i
