Sentence_num,Sentence Vector
1,"tensor([-0.4900, -0.3072, -0.2241, -0.2747, -0.0047])"
2,"tensor([-0.0075,  0.0971,  0.1711,  0.0105,  0.4640])"
3,"tensor([-0.0549,  0.0553,  0.2943, -0.0072,  0.2900])"
4,"tensor([-0.0717,  0.3886, -0.1569, -0.0414, -0.1145])"
5,"tensor([-0.2759, -0.0659,  0.2085, -0.0555,  0.4238])"
6,"tensor([-0.0572, -0.2424,  0.3781, -0.3187,  0.3214])"
7,"tensor([ 0.4008,  0.1631,  0.6310, -0.0919,  0.4483])"
8,"tensor([-0.1721,  0.3601,  0.1795, -0.0686,  0.3934])"
9,"tensor([-0.4522, -0.2249,  0.3134,  0.1805,  0.1635])"
10,"tensor([ 0.3854, -0.1694,  0.0863,  0.0757, -0.1391])"
11,"tensor([ 0.0331, -0.7968,  0.4680, -0.3986,  0.3010])"
12,"tensor([-0.0464,  0.4593,  0.6196,  0.1076,  0.8024])"
13,"tensor([-0.3010, -0.3708,  0.0486,  0.0151,  0.1402])"
14,"tensor([ 0.1306, -0.1776,  0.6055,  0.0717,  0.4723])"
15,"tensor([ 0.2684,  0.1542, -0.0766, -0.0911,  0.5158])"
16,"tensor([ 0.0537, -0.5506,  0.0257, -0.2568,  0.3651])"
17,"tensor([ 0.0367, -0.1186,  0.1166, -0.2400, -0.0134])"
18,"tensor([-0.2827,  0.2723, -0.4012, -0.4398, -0.4685])"
19,"tensor([-0.2108,  0.5616,  0.3897, -0.2925,  0.4788])"
20,"tensor([-0.0645, -0.0584, -0.1864, -0.5284,  0.1498])"
21,"tensor([-0.2921, -0.4285,  0.6436,  0.0348,  0.2097])"
22,"tensor([ 0.3654,  0.0982, -0.0408, -0.3079, -0.4817])"
23,"tensor([-0.1496, -0.2296,  0.1910,  0.0324, -0.0398])"
24,"tensor([-0.3432, -0.6660,  0.7489,  0.2788,  0.5652])"
25,"tensor([-0.1306, -0.1899,  0.3166,  0.0115,  0.1984])"
26,"tensor([-0.3389, -0.3381,  0.0544, -0.1627,  0.1975])"
27,"tensor([-0.0720, -0.3821,  0.2326, -0.1293,  0.3732])"
28,"tensor([-0.2064, -0.2158,  0.0622, -0.2633,  0.3768])"
29,"tensor([-0.0113,  0.2634,  0.4330, -0.1397,  0.5064])"
30,"tensor([-0.0344, -0.1644, -0.2657, -0.2858,  0.6458])"
31,"tensor([ 0.0497, -0.2690,  0.3778,  0.0779, -0.0481])"
32,"tensor([ 0.0126, -0.2594, -0.1254, -0.1629, -0.5572])"
