Sentence_num,Cosine Sim,,,,
,,,,,
1,0.777610302,,,,
,,,,,
2,0.720822573,,,,
,,,,,
3,0.327381074,,,,
,,,,,
4,-0.580486417,,,,Average
,,,,,0.346508431
5,0.227677226,,,,
,,,,,
6,-0.668023765,,,,
,,,,,
7,0.442830682,,,,
,,,,,
8,0.226637974,,,,
,,,,,
9,0.313458025,,,,
,,,,,
10,-0.007426524,,,,
,,,,,
11,0.473349839,,,,
,,,,,
12,0.85154593,,,,
,,,,,
13,0.134843305,,,,
,,,,,
14,0.788768232,,,,
,,,,,
15,0.185984045,,,,
,,,,,
16,0.854944468,,,,
,,,,,
17,0.913874328,,,,
,,,,,
18,0.752188504,,,,
,,,,,
19,0.236808568,,,,
,,,,,
20,0.075132683,,,,
,,,,,
21,-0.070516661,,,,
,,,,,
22,-0.311075807,,,,
,,,,,
23,0.372584254,,,,
,,,,,
24,0.848738551,,,,
,,,,,
25,0.790741146,,,,
,,,,,
26,0.186114654,,,,
,,,,,
27,0.159566402,,,,
,,,,,
28,0.181263477,,,,
,,,,,
29,0.702964485,,,,
,,,,,
30,0.268067002,,,,
,,,,,
31,0.136111215,,,,
,,,,,
32,0.775790036,,,,
