Sentence_num,Cosine Sim,,,,,
,,,,,,
1,0.509674013,,,,,
,,,,,,
2,0.923657,,,,,
,,,,,,Average
3,-0.539766073,,,,,0.404187164
,,,,,,
4,0.522905827,,,,,
,,,,,,
5,0.557565212,,,,,
,,,,,,
6,-0.553893745,,,,,
,,,,,,
7,0.911901057,,,,,
,,,,,,
8,0.328197509,,,,,
,,,,,,
9,-0.137227401,,,,,
,,,,,,
10,0.241432816,,,,,
,,,,,,
11,0.794543207,,,,,
,,,,,,
12,0.796145439,,,,,
,,,,,,
13,0.019649234,,,,,
,,,,,,
14,0.496521384,,,,,
,,,,,,
15,0.840381384,,,,,
,,,,,,
16,0.920529366,,,,,
,,,,,,
17,-0.250912398,,,,,
,,,,,,
18,0.573890924,,,,,
,,,,,,
19,0.821435034,,,,,
,,,,,,
20,0.586652994,,,,,
,,,,,,
21,0.433787793,,,,,
,,,,,,
22,0.718050122,,,,,
,,,,,,
23,0.080044478,,,,,
,,,,,,
24,0.89130336,,,,,
,,,,,,
25,0.784697235,,,,,
,,,,,,
26,0.466868192,,,,,
,,,,,,
27,0.107881933,,,,,
,,,,,,
28,0.19182156,,,,,
,,,,,,
29,0.650878608,,,,,
,,,,,,
30,0.231848672,,,,,
,,,,,,
31,-0.103034101,,,,,
,,,,,,
32,0.116558619,,,,,
