Original Idiom,Cosine Sim,,
,,,
just in case,0.818337798,,
,,,
a sorry sight,1,,
,,,
rule of thumb,1,,0.62078817
,,,
carpe diem,0.37274608,,
,,,
salad days,1,,
,,,
off the record,0.321642518,,
,,,
thank goodness,1,,
,,,
big bucks,0.767876744,,
,,,
dog days,0.791488409,,
,,,
wet behind the ears,0.71280551,,
,,,
just deserts,0.486795753,,
,,,
an arm and a leg,1,,
,,,
never mind,0.346638083,,
,,,
bricks and mortar,0.956465065,,
,,,
close call,-0.307276726,,
,,,
a sight for sore eyes,1,,
,,,
open warfare,0.901914537,,
,,,
pin money,0.80641377,,
,,,
third time lucky,0.652124524,,
,,,
race against time,0.797253311,,
,,,
rain or shine,0.786732733,,
,,,
hold on a second,0.181359068,,
,,,
next to nothing,-0.204144746,,
,,,
cheek by jowl,0.631179154,,
,,,
black and blue,0.082206562,,
,,,
dead wood,0.959306598,,
,,,
stranger things have happened,0.953866601,,
,,,
pigs might fly,0.91960305,,
,,,
poetry in motion,0.613616407,,
,,,
dressed up to the nines,0.835255325,,
,,,
way around,0.130308613,,
,,,
no strings attached,0.692747235,,
,,,
a shot in the arm,1,,
,,,
below the salt,0.643732548,,
,,,
heart of gold,0.81719768,,
,,,
in the pipeline,0.321837544,,
,,,
golden age,0.740104854,,
,,,
in limbo,0.477890044,,
,,,
baptism of fire,1,,
,,,
beyond words,1,,
,,,
on the table,0.964008391,,
,,,
in bad shape,0.370653749,,
,,,
on the horns of a dilemma,0.914625466,,
,,,
under pressure,0.864101827,,
,,,
dead right,0.732844532,,
,,,
give me five,-0.125076309,,
,,,
in the heat of the moment,-0.348165631,,
,,,
fit as a fiddle,-0.004658225,,
,,,
charity begins at home,0.627515674,,
,,,
syrup of figs,0.711237252,,
,,,
against time,0.82243073,,
,,,
neither fish nor fowl,1,,
,,,
well hung,0.669587433,,
,,,
in a nutshell,-0.379116714,,
,,,
red handed,0.789328575,,
,,,
at hand,1,,
,,,
by the numbers,0.634455919,,
,,,
nest egg,-0.579159141,,
,,,
shelf life,0.722647548,,
,,,
flotsam and jetsam,1,,
,,,
out on the town,-0.397252768,,
,,,
on the fence,0.959811509,,
,,,
fancy free,0.331129313,,
,,,
head over heels,0.79885447,,
,,,
at the drop of a hat,1,,
,,,
poetic justice,0.969177604,,
,,,
in the eyes of the law,0.388181597,,
,,,
dead to the world,0.835152447,,
,,,
odds and ends,0.821995497,,
,,,
an ugly duckling,1,,
,,,
money for old rope,1,,
,,,
daily grind,0.461397231,,
,,,
well read,0.67911613,,
,,,
no spring chicken,-0.027692938,,
,,,
let sleeping dogs lie,0.262710065,,
,,,
easier said than done,0.963853657,,
,,,
son of a gun,1,,
,,,
hold your horses,0.770795941,,
,,,
god forbid,0.853116214,,
,,,
across the board,1,,
,,,
against the clock,0.66882515,,
,,,
in the same boat,0.281522751,,
,,,
skid row,-0.190323517,,
,,,
the best of both worlds,0.997154415,,
,,,
nitty gritty,0.238631949,,
,,,
the men in grey suits,0.816479802,,
,,,
caught in the crossfire,0.778239548,,
,,,
between life and death,1,,
,,,
time is money,0.664708257,,
,,,
young blood,-0.301521868,,
,,,
labour of love,0.910600841,,
,,,
the acid test,0.971736491,,
,,,
dead and buried,0.407520235,,
,,,
as poor as a church mouse,1,,
,,,
the holy grail,0.456028789,,
,,,
to this day,0.142115057,,
,,,
whiter than white,0.841221154,,
,,,
all together now,0.019959951,,
,,,
inside job,0.73531121,,
,,,
magic touch,0.574975133,,
