Original Idiom,Cosine Sim,,,
,,,,
just in case,0.597507358,,,
,,,,
a sorry sight,0.769193351,,,
,,,,0.550435408
rule of thumb,0.81992209,,,
,,,,
carpe diem,0.724146724,,,
,,,,
salad days,0.870664239,,,
,,,,
off the record,0.5702914,,,
,,,,
thank goodness,0.721159637,,,
,,,,
big bucks,0.468119591,,,
,,,,
dog days,-0.122560211,,,
,,,,
wet behind the ears,0.945263147,,,
,,,,
just deserts,0.55740875,,,
,,,,
an arm and a leg,0.316042691,,,
,,,,
never mind,0.481643289,,,
,,,,
bricks and mortar,0.936482131,,,
,,,,
close call,0.052476551,,,
,,,,
a sight for sore eyes,0.850606143,,,
,,,,
open warfare,0.090621367,,,
,,,,
pin money,0.811413646,,,
,,,,
third time lucky,0.949410737,,,
,,,,
race against time,0.959132373,,,
,,,,
rain or shine,0.762911677,,,
,,,,
hold on a second,0.076710962,,,
,,,,
next to nothing,0.321833521,,,
,,,,
cheek by jowl,0.719054103,,,
,,,,
black and blue,0.284633785,,,
,,,,
dead wood,0.324182928,,,
,,,,
stranger things have happened,0.844834447,,,
,,,,
pigs might fly,0.738034785,,,
,,,,
poetry in motion,0.114751086,,,
,,,,
dressed up to the nines,0.769232035,,,
,,,,
way around,-0.198785707,,,
,,,,
no strings attached,0.820654869,,,
,,,,
a shot in the arm,0.811691642,,,
,,,,
below the salt,0.874843299,,,
,,,,
heart of gold,0.048891433,,,
,,,,
in the pipeline,0.691439152,,,
,,,,
golden age,0.45809418,,,
,,,,
in limbo,0.632321715,,,
,,,,
baptism of fire,0.788396418,,,
,,,,
beyond words,0.816804826,,,
,,,,
on the table,0.188281357,,,
,,,,
in bad shape,0.359284818,,,
,,,,
on the horns of a dilemma,0.801415741,,,
,,,,
under pressure,0.686096728,,,
,,,,
dead right,0.210682645,,,
,,,,
give me five,0.320537686,,,
,,,,
in the heat of the moment,0.630426526,,,
,,,,
fit as a fiddle,0.35747534,,,
,,,,
charity begins at home,0.525251269,,,
,,,,
syrup of figs,0.796212494,,,
,,,,
against time,0.545121491,,,
,,,,
neither fish nor fowl,0.669195056,,,
,,,,
well hung,0.42574054,,,
,,,,
in a nutshell,0.490590751,,,
,,,,
red handed,0.889340341,,,
,,,,
at hand,0.853184402,,,
,,,,
by the numbers,0.937440276,,,
,,,,
nest egg,0.352216035,,,
,,,,
shelf life,0.512559354,,,
,,,,
flotsam and jetsam,0.866245508,,,
,,,,
out on the town,0.84590435,,,
,,,,
on the fence,0.475428998,,,
,,,,
fancy free,0.502949953,,,
,,,,
head over heels,0.656886041,,,
,,,,
at the drop of a hat,0.958450615,,,
,,,,
poetic justice,-0.394500971,,,
,,,,
in the eyes of the law,0.664813042,,,
,,,,
dead to the world,0.645006418,,,
,,,,
odds and ends,0.578900695,,,
,,,,
an ugly duckling,0.674903274,,,
,,,,
money for old rope,0.721099079,,,
,,,,
daily grind,-0.022225736,,,
,,,,
well read,0.572912633,,,
,,,,
no spring chicken,0.059291799,,,
,,,,
let sleeping dogs lie,0.733489037,,,
,,,,
easier said than done,0.747830689,,,
,,,,
son of a gun,-0.17078054,,,
,,,,
hold your horses,0.616555095,,,
,,,,
god forbid,0.312966526,,,
,,,,
across the board,0.860402107,,,
,,,,
against the clock,0.392430037,,,
,,,,
in the same boat,0.781326532,,,
,,,,
skid row,0.00020538,,,
,,,,
the best of both worlds,0.725789189,,,
,,,,
nitty gritty,0.586781144,,,
,,,,
the men in grey suits,0.842634976,,,
,,,,
caught in the crossfire,0.88776499,,,
,,,,
between life and death,0.659421265,,,
,,,,
time is money,0.781253278,,,
,,,,
young blood,-0.437303632,,,
,,,,
labour of love,-0.289023548,,,
,,,,
the acid test,0.919180393,,,
,,,,
dead and buried,0.093753621,,,
,,,,
as poor as a church mouse,0.870027244,,,
,,,,
the holy grail,0.315114021,,,
,,,,
to this day,0.789165974,,,
,,,,
whiter than white,0.881301761,,,
,,,,
all together now,0.440991819,,,
,,,,
inside job,0.877183199,,,
,,,,
magic touch,0.398485541,,,
