NC,Vector Sim value (with syn),,,,
,,,,,
car park,0.919932723,,,,
,,,,,
dream ticket,-0.192172199,,,,
,,,,,
case study,0.699236929,,,,Average
,,,,,0.584075023
dutch courage,0.478656858,,,,
,,,,,
cash cow,0.711405933,,,,
,,,,,
fair play,0.675792754,,,,
,,,,,
fairy tale,0.393155307,,,,
,,,,,
fall guy,0.764885962,,,,
,,,,,
chain reaction,0.75471139,,,,
,,,,,
field work,0.78907752,,,,
,,,,,
football season,0.545816064,,,,
,,,,,
fresh water,0.961493075,,,,
,,,,,
freudian slip,0.502342999,,,,
,,,,,
critical review,0.784770131,,,,
,,,,,
ghost town,0.713469446,,,,
,,,,,
cheat sheet,0.893382847,,,,
,,,,,
glass ceiling,0.682554424,,,,
,,,,,
dead end,0.180233225,,,,
,,,,,
grass root,0.562005579,,,,
,,,,,
dirty money,0.83458209,,,,
,,,,,
china clay,0.642526984,,,,
,,,,,
dirty word,0.287522376,,,,
,,,,,
hard drive,0.803267479,,,,
,,,,,
climate change,0.159114033,,,,
,,,,,
disc jockey,0.253631651,,,,
,,,,,
academy award,0.669567168,,,,
,,,,,
hard shoulder,0.857470274,,,,
,,,,,
cloud nine,-0.155422673,,,,
,,,,,
head hunter,0.097955108,,,,
,,,,,
divine service,0.488518566,,,,
,,,,,
arcade game,0.875496507,,,,
,,,,,
baby blues,0.707009554,,,,
,,,,,
cocktail dress,0.830079496,,,,
,,,,,
health care,-0.277927577,,,,
,,,,,
law firm,0.68960613,,,,
,,,,,
dry land,0.197729737,,,,
,,,,,
heavy cross,0.787808001,,,,
,,,,,
backroom boy,0.798381388,,,,
,,,,,
dry wall,0.973479688,,,,
,,,,,
couch potato,0.544747293,,,,
,,,,,
hen party,0.352370441,,,,
,,,,,
crash course,0.513852894,,,,
,,,,,
lip service,0.154033154,,,,
,,,,,
bad apple,0.825922847,,,,
,,,,,
credit card,0.964748204,,,,
,,,,,
home run,0.773827851,,,,
,,,,,
banana republic,0.755110681,,,,
,,,,,
crocodile tear,0.586462677,,,,
,,,,,
lotus position,0.753930211,,,,
,,,,,
eager beaver,0.859506726,,,,
,,,,,
bankruptcy proceeding,0.885600388,,,,
,,,,,
mailing list,-0.042212635,,,,
,,,,,
cutting edge,0.616060317,,,,
,,,,,
economic aid,0.952058434,,,,
,,,,,
honey trap,0.126088813,,,,
,,,,,
melting pot,0.638709962,,,,
,,,,,
hot potato,0.659644783,,,,
,,,,,
basket case,0.575873673,,,,
,,,,,
diamond wedding,0.249390647,,,,
,,,,,
elbow grease,0.576907098,,,,
,,,,,
memory lane,0.737994492,,,,
,,,,,
beauty sleep,0.110457487,,,,
,,,,,
end user,0.666077793,,,,
,,,,,
incubation period,0.163815945,,,,
,,,,,
elbow room,0.672869921,,,,
,,,,,
engine room,0.961470246,,,,
,,,,,
information age,0.86747694,,,,
,,,,,
best man,0.412264049,,,,
,,,,,
eye candy,-0.055862237,,,,
,,,,,
injury time,0.621188521,,,,
,,,,,
insider trading,0.811574996,,,,
,,,,,
monkey business,0.401291281,,,,
,,,,,
face value,0.842282712,,,,
,,,,,
big cheese,0.507176816,,,,
,,,,,
nest egg,0.660540223,,,,
,,,,,
big picture,0.742190242,,,,
,,,,,
entrance hall,0.923438251,,,,
,,,,,
night owl,0.60236764,,,,
,,,,,
eternal rest,-0.449024975,,,,
,,,,,
fashion plate,0.881415248,,,,
,,,,,
fish story,0.50664854,,,,
,,,,,
big wig,0.495150298,,,,
,,,,,
jet lag,0.468380958,,,,
,,,,,
number crunching,0.216886669,,,,
,,,,,
fine line,0.810011744,,,,
,,,,,
flower child,0.194715217,,,,
,,,,,
panda car,0.122085027,,,,
,,,,,
biological clock,0.09849035,,,,
,,,,,
firing line,0.836660981,,,,
,,,,,
food market,0.833404422,,,,
,,,,,
job fair,0.879591525,,,,
,,,,,
black box,0.714331448,,,,
,,,,,
foot soldier,0.814004898,,,,
,,,,,
leap year,0.835509658,,,,
,,,,,
flea market,0.760328114,,,,
,,,,,
front man,0.735393286,,,,
,,,,,
front runner,0.832167566,,,,
,,,,,
goose egg,0.146869749,,,,
,,,,,
black operation,0.854244649,,,,
,,,,,
love song,0.643549681,,,,
,,,,,
parking lot,0.919932723,,,,
,,,,,
blind alley,0.353854954,,,,
,,,,,
game plan,0.522175431,,,,
,,,,,
grey matter,0.670698941,,,,
,,,,,
pecking order,0.752032697,,,,
,,,,,
low profile,0.330973297,,,,
,,,,,
gold mine,0.711405933,,,,
,,,,,
blood bath,0.214818239,,,,
,,,,,
marketing consultant,0.845218241,,,,
,,,,,
graduate student,0.910507858,,,,
,,,,,
polo shirt,0.904322922,,,,
,,,,,
blue blood,-0.001137963,,,,
,,,,,
grandfather clock,0.922526002,,,,
,,,,,
medical procedure,0.262352586,,,,
,,,,,
public service,0.843167841,,,,
,,,,,
blue print,0.893276632,,,,
,,,,,
guinea pig,0.864704847,,,,
,,,,,
graveyard shift,0.920168221,,,,
,,,,,
box office,0.561811745,,,,
,,,,,
half sister,0.97444433,,,,
,,,,,
radio station,0.661330163,,,,
,,,,,
music festival,0.605306029,,,,
,,,,,
rat race,0.467536151,,,,
,,,,,
brain drain,0.448815405,,,,
,,,,,
music journalist,0.503225088,,,,
